description,category
UPI/P2M/165947794004/UPSTOX,Investments
UPI/P2M/752987475241/BIGBASKET,Groceries
UPI/P2M/961982550979/MAKEMYTRIP,Travel & Transport
POS DEBIT 677010485321 DOMINOSPIZZA,Food & Drinks
NEFT CR-870364481230-SALARY CREDIT,Income
POS DEBIT 262039420593 PRIMEVIDEO,Entertainment
POS DEBIT 832645636034 THEBEERCAFE,Food & Drinks
UPI/P2M/961201684685/ZOMATO,Food & Drinks
POS DEBIT 578530774166 CULTFIT,Health & Fitness
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
NEFT CR-780660287894-RENTAL INCOME,Income
UPI/P2M/994216601505/MYNTRA,Shopping
NEFT CR-164161462287-SALARY CREDIT,Income
UPI/P2M/747031870717/UDEMY,Education
UPI/P2M/258039644078/AMAZON,Shopping
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
POS DEBIT 616286787556 MUTUALFUNDSIP,Investments
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 901751094419 CASHWITHDRAWAL,Withdrawals
POS DEBIT 811102045125 CULTFIT,Health & Fitness
POS DEBIT 817723042690 PVRCINEMAS,Entertainment
UPI/P2M/406152102604/FLIPKART,Shopping
UPI/P2M/631585750035/AMAZON,Shopping
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 399784659962 PRIMEVIDEO,Entertainment
UPI/P2M/923292547396/FLIPKART,Shopping
POS DEBIT 421017640447 LOCALGYM,Health & Fitness
UPI/P2M/358610205754/ZERODHA,Investments
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 290116416435 PVRCINEMAS,Entertainment
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/797627574196/STARBUCKS,Food & Drinks
NEFT CR-599264680573-FREELANCE PAYMENT,Income
UPI/P2M/480408778391/BIGBASKET,Groceries
UPI/P2M/785157681480/GROWW,Investments
NEFT CR-749818100592-SALARY CREDIT,Income
UPI/P2M/436965126896/BLINKIT,Groceries
UPI/P2M/393183035501/ZARA,Shopping
POS DEBIT 137685860673 PVRCINEMAS,Entertainment
UPI/P2M/134705522195/GOIBIBO,Travel & Transport
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/210899992349/COURSERA,Education
UPI/P2M/800650719868/COURSERA,Education
POS DEBIT 632574919591 MUTUALFUNDSIP,Investments
UPI/P2M/464318530262/BIGBASKET,Groceries
POS DEBIT 134736665291 MUTUALFUNDSIP,Investments
UPI/P2M/182399336219/BOOKMYSHOW,Entertainment
UPI/P2M/410110380568/BOOKMYSHOW,Entertainment
UPI/P2M/720489194305/ZEPTO,Groceries
UPI/P2M/954646895598/GOIBIBO,Travel & Transport
UPI/P2M/993360207164/SWIGGY,Food & Drinks
UPI/P2M/394851616443/SWIGGY,Food & Drinks
POS DEBIT 539287512127 CASHWITHDRAWAL,Withdrawals
UPI/P2M/950026309105/MYNTRA,Shopping
POS DEBIT 655472178186 INDIANRAILWAYS,Travel & Transport
POS DEBIT 696423105938 CASHWITHDRAWAL,Withdrawals
POS DEBIT 346307322803 PRIMEVIDEO,Entertainment
UPI/P2M/834556381616/BOOKMYSHOW,Entertainment
POS DEBIT 224969367316 CULTFIT,Health & Fitness
UPI/P2M/711033092616/ZEPTO,Groceries
UPI/P2M/908630869138/GOIBIBO,Travel & Transport
UPI/P2M/392881316651/UPSTOX,Investments
POS DEBIT 112917762188 UNIVERSITYFEES,Education
NEFT CR-127160222714-RENTAL INCOME,Income
UPI/P2M/207285956016/COURSERA,Education
POS DEBIT 495735956284 RELIANCEDIGITAL,Shopping
POS DEBIT 111200125585 PVRCINEMAS,Entertainment
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/114734195707/BOOKMYSHOW,Entertainment
UPI/P2M/013913237104/GIFT,Miscellaneous
UPI/P2M/736503076020/ZERODHA,Investments
POS DEBIT 526145165974 BANKCHARGES,Miscellaneous
POS DEBIT 612484121318 OLACABS,Travel & Transport
POS DEBIT 654401915885 MISCPURCHASE,Miscellaneous
POS DEBIT 387880946908 RELIANCEDIGITAL,Shopping
UPI/P2M/785157681480/GROWW,Investments
NEFT CR-691264129742-FREELANCE PAYMENT,Income
POS DEBIT 333699629217 CASHWITHDRAWAL,Withdrawals
POS DEBIT 261247437000 PVRCINEMAS,Entertainment
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/724836304852/NETFLIX.COM,Entertainment
UPI/P2M/104907661462/ZEPTO,Groceries
UPI/P2M/697224661603/GOIBIBO,Travel & Transport
UPI/P2M/134818571385/FLIPKART,Shopping
UPI/P2M/454992385359/BIGBASKET,Groceries
UPI/P2M/884105621798/UPSTOX,Investments
POS DEBIT 752629208776 LOCALSUPERMARKET,Groceries
POS DEBIT 844314081692 OLACABS,Travel & Transport
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/450193081488/GOIBIBO,Travel & Transport
POS DEBIT 972841233892 PRIMEVIDEO,Entertainment
POS DEBIT 694605812031 CASHWITHDRAWAL,Withdrawals
UPI/P2M/432859624235/COURSERA,Education
POS DEBIT 670067993901 UNIVERSITYFEES,Education
UPI/P2M/745406516504/GROWW,Investments
POS DEBIT 417568396431 LOCALGYM,Health & Fitness
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
UPI/P2M/701264220887/FLIPKART,Shopping
POS DEBIT 320167861560 MUTUALFUNDSIP,Investments
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 477656396938 LOCALSUPERMARKET,Groceries
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 664049358686 CASHWITHDRAWAL,Withdrawals
NEFT CR-129324639678-RENTAL INCOME,Income
UPI/P2M/701264220887/FLIPKART,Shopping
POS DEBIT 437389369747 CASHWITHDRAWAL,Withdrawals
UPI/P2M/013913237104/GIFT,Miscellaneous
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/272741360017/AMAZON,Shopping
POS DEBIT 724094900385 CASHWITHDRAWAL,Withdrawals
POS DEBIT 764238903876 INDIANRAILWAYS,Travel & Transport
POS DEBIT 522105764985 REDBUS,Travel & Transport
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/242418554846/ZERODHA,Investments
POS DEBIT 831318291134 APOLLOPHARMACY,Health & Fitness
POS DEBIT 581867926529 PRIMEVIDEO,Entertainment
UPI/P2M/520521448387/GIFT,Miscellaneous
UPI/P2M/251183921241/GIFT,Miscellaneous
POS DEBIT 918172118324 PVRCINEMAS,Entertainment
UPI/P2M/388420797116/COURSERA,Education
POS DEBIT 347835184340 CASHWITHDRAWAL,Withdrawals
POS DEBIT 331483622315 LOCALGYM,Health & Fitness
UPI/P2M/799633154575/UPSTOX,Investments
POS DEBIT 450683412520 CASHWITHDRAWAL,Withdrawals
POS DEBIT 319114188788 LOCALGYM,Health & Fitness
UPI/P2M/379593979245/NETFLIX.COM,Entertainment
UPI/P2M/260681178702/NETFLIX.COM,Entertainment
POS DEBIT 976845750926 DOMINOSPIZZA,Food & Drinks
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
POS DEBIT 612510400986 DOMINOSPIZZA,Food & Drinks
UPI/P2M/924951784161/UPSTOX,Investments
POS DEBIT 159894020449 DOMINOSPIZZA,Food & Drinks
UPI/P2M/353091947459/FLIPKART,Shopping
POS DEBIT 680274474456 CASHWITHDRAWAL,Withdrawals
UPI/P2M/219681338773/SWIGGY,Food & Drinks
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/681271957279/BSNL,Bills & Utilities
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 640825270695 THEBEERCAFE,Food & Drinks
POS DEBIT 232350577779 CULTFIT,Health & Fitness
NEFT CR-722002645418-FREELANCE PAYMENT,Income
UPI/P2M/319333209547/JIOMART,Groceries
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/815315722291/ZERODHA,Investments
POS DEBIT 479212903718 LOCALSUPERMARKET,Groceries
POS DEBIT 572979264333 PRIMEVIDEO,Entertainment
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/735887785120/UDEMY,Education
UPI/P2M/195314305660/GIFT,Miscellaneous
UPI/P2M/552000076051/MAKEMYTRIP,Travel & Transport
POS DEBIT 153745533304 CASHWITHDRAWAL,Withdrawals
POS DEBIT 436568391182 OLACABS,Travel & Transport
NEFT CR-908524033175-FREELANCE PAYMENT,Income
POS DEBIT 923895081626 LOCALSUPERMARKET,Groceries
POS DEBIT 326211208913 CASHWITHDRAWAL,Withdrawals
UPI/P2M/116576005924/UPSTOX,Investments
POS DEBIT 125943399780 CASHWITHDRAWAL,Withdrawals
UPI/P2M/155844550758/MYPROTEIN,Health & Fitness
UPI/P2M/309474877982/UPSTOX,Investments
POS DEBIT 535372730491 REDBUS,Travel & Transport
UPI/P2M/440251120071/NETFLIX.COM,Entertainment
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/569841394969/JIOMART,Groceries
UPI/P2M/833309206060/BOOKMYSHOW,Entertainment
POS DEBIT 732126814940 PRIMEVIDEO,Entertainment
UPI/P2M/997306468861/ZERODHA,Investments
POS DEBIT 858632572237 BANKCHARGES,Miscellaneous
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/747805179861/ZEPTO,Groceries
NEFT CR-552374704742-SALARY CREDIT,Income
UPI/P2M/285473634029/UDEMY,Education
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/101785506918/MYPROTEIN,Health & Fitness
UPI/P2M/316802348481/UDEMY,Education
UPI/P2M/690103027566/NETFLIX.COM,Entertainment
UPI/P2M/599885807426/AMAZON,Shopping
UPI/P2M/427853022199/GROWW,Investments
POS DEBIT 119189852602 PVRCINEMAS,Entertainment
UPI/P2M/707916269746/GOIBIBO,Travel & Transport
UPI/P2M/434101419677/FLIPKART,Shopping
NEFT CR-344939904680-RENTAL INCOME,Income
NEFT CR-745833249985-FREELANCE PAYMENT,Income
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 523259791271 LOCALSUPERMARKET,Groceries
UPI/P2M/664183585823/GOIBIBO,Travel & Transport
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
UPI/P2M/368058807670/BIGBASKET,Groceries
POS DEBIT 964644350833 CULTFIT,Health & Fitness
POS DEBIT 413226231402 REDBUS,Travel & Transport
NEFT CR-792781298609-FREELANCE PAYMENT,Income
UPI/P2M/578021658503/BSNL,Bills & Utilities
UPI/P2M/211911521850/NETFLIX.COM,Entertainment
POS DEBIT 105674576693 UNIVERSITYFEES,Education
UPI/P2M/701264220887/FLIPKART,Shopping
POS DEBIT 480282163570 LOCALGYM,Health & Fitness
POS DEBIT 337523728200 LOCALGYM,Health & Fitness
UPI/P2M/270465316413/SWIGGY,Food & Drinks
POS DEBIT 693796372755 CASHWITHDRAWAL,Withdrawals
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
UPI/P2M/723502844274/NETFLIX.COM,Entertainment
UPI/P2M/781116006858/GOIBIBO,Travel & Transport
UPI/P2M/320024239464/ZEPTO,Groceries
NEFT CR-705337161010-SALARY CREDIT,Income
POS DEBIT 408181404152 PRIMEVIDEO,Entertainment
POS DEBIT 279465747022 UNIVERSITYFEES,Education
UPI/P2M/623866474465/BOOKMYSHOW,Entertainment
UPI/P2M/554223594870/ZARA,Shopping
UPI/P2M/856249335278/BIGBASKET,Groceries
UPI/P2M/809751437993/MYNTRA,Shopping
POS DEBIT 755758905647 CASHWITHDRAWAL,Withdrawals
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/159814051036/BOOKMYSHOW,Entertainment
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/835489834500/ZERODHA,Investments
POS DEBIT 682694837656 LOCALSUPERMARKET,Groceries
UPI/P2M/645582312765/MAKEMYTRIP,Travel & Transport
POS DEBIT 834447619973 CASHWITHDRAWAL,Withdrawals
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/436919752059/GOIBIBO,Travel & Transport
UPI/P2M/877580852542/GROWW,Investments
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
NEFT CR-279619615211-SALARY CREDIT,Income
UPI/P2M/581954166511/MAKEMYTRIP,Travel & Transport
POS DEBIT 745232984979 UNIVERSITYFEES,Education
NEFT CR-888893645895-SALARY CREDIT,Income
POS DEBIT 116513084398 UNIVERSITYFEES,Education
UPI/P2M/735057993200/COURSERA,Education
UPI/P2M/737489260175/UDEMY,Education
POS DEBIT 475913353250 OLACABS,Travel & Transport
UPI/P2M/548713933851/MAKEMYTRIP,Travel & Transport
UPI/P2M/470477671593/BIGBASKET,Groceries
POS DEBIT 368907146967 CASHWITHDRAWAL,Withdrawals
POS DEBIT 561163618101 LOCALSUPERMARKET,Groceries
UPI/P2M/976157411467/MYPROTEIN,Health & Fitness
UPI/P2M/847765131543/FLIPKART,Shopping
POS DEBIT 192031737878 INDIANRAILWAYS,Travel & Transport
UPI/P2M/589719124119/BOOKMYSHOW,Entertainment
POS DEBIT 591023528782 MUTUALFUNDSIP,Investments
UPI/P2M/933910325831/BOOKMYSHOW,Entertainment
UPI/P2M/888402645981/UBER,Travel & Transport
POS DEBIT 549288335472 MUTUALFUNDSIP,Investments
POS DEBIT 349328350567 CULTFIT,Health & Fitness
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/468858140049/COURSERA,Education
POS DEBIT 367411790876 CULTFIT,Health & Fitness
POS DEBIT 811110247408 UNIVERSITYFEES,Education
POS DEBIT 652584937252 PVRCINEMAS,Entertainment
POS DEBIT 899065637799 MUTUALFUNDSIP,Investments
UPI/P2M/315035819340/ZEPTO,Groceries
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/692947192525/FLIPKART,Shopping
UPI/P2M/936308454699/BOOKMYSHOW,Entertainment
NEFT CR-546927769203-RENTAL INCOME,Income
POS DEBIT 850371659536 MISCPURCHASE,Miscellaneous
POS DEBIT 681757534942 CULTFIT,Health & Fitness
UPI/P2M/770570196086/GROWW,Investments
POS DEBIT 127330535543 BANKCHARGES,Miscellaneous
UPI/P2M/450926228681/BOOKMYSHOW,Entertainment
POS DEBIT 740989354811 DOMINOSPIZZA,Food & Drinks
NEFT CR-185255591568-RENTAL INCOME,Income
UPI/P2M/655428041530/BOOKMYSHOW,Entertainment
UPI/P2M/298199835740/JIOMART,Groceries
UPI/P2M/196541412529/BIGBASKET,Groceries
NEFT CR-323884977870-RENTAL INCOME,Income
UPI/P2M/131780812822/GOIBIBO,Travel & Transport
POS DEBIT 671710098943 LOCALSUPERMARKET,Groceries
UPI/P2M/108945763783/GOIBIBO,Travel & Transport
UPI/P2M/609365909983/AMAZON,Shopping
POS DEBIT 700714080984 LOCALSUPERMARKET,Groceries
UPI/P2M/121668097292/ZARA,Shopping
POS DEBIT 490101893548 UNIVERSITYFEES,Education
UPI/P2M/944219643747/COURSERA,Education
UPI/P2M/120198759600/BSNL,Bills & Utilities
UPI/P2M/395324269959/STARBUCKS,Food & Drinks
UPI/P2M/301246736928/BOOKMYSHOW,Entertainment
UPI/P2M/588080539056/BOOKMYSHOW,Entertainment
UPI/P2M/213763749893/GROWW,Investments
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/975570918373/UDEMY,Education
NEFT CR-519877085776-FREELANCE PAYMENT,Income
UPI/P2M/950026309105/MYNTRA,Shopping
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/345389081446/ZOMATO,Food & Drinks
UPI/P2M/446809208879/UPSTOX,Investments
UPI/P2M/158658959989/MYPROTEIN,Health & Fitness
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/493937430862/MAKEMYTRIP,Travel & Transport
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
POS DEBIT 281275078702 LOCALSUPERMARKET,Groceries
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/384991871646/UPSTOX,Investments
POS DEBIT 650590911021 MUTUALFUNDSIP,Investments
UPI/P2M/847305793814/MCDONALDS,Food & Drinks
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
NEFT CR-695966515669-SALARY CREDIT,Income
UPI/P2M/505299723346/UDEMY,Education
POS DEBIT 680649080833 CULTFIT,Health & Fitness
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/138003011564/NETFLIX.COM,Entertainment
UPI/P2M/553691694111/MYNTRA,Shopping
UPI/P2M/773637533240/AMAZON,Shopping
NEFT CR-237528810112-RENTAL INCOME,Income
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/166831394893/GOIBIBO,Travel & Transport
UPI/P2M/150914188142/FLIPKART,Shopping
NEFT CR-426531635757-SALARY CREDIT,Income
UPI/P2M/212614203152/BOOKMYSHOW,Entertainment
POS DEBIT 475073398369 REDBUS,Travel & Transport
UPI/P2M/179141864465/BIGBASKET,Groceries
UPI/P2M/803988047175/MAKEMYTRIP,Travel & Transport
POS DEBIT 833853826899 CASHWITHDRAWAL,Withdrawals
UPI/P2M/706546516780/UDEMY,Education
POS DEBIT 863040829284 PVRCINEMAS,Entertainment
UPI/P2M/587978151410/SWIGGY,Food & Drinks
NEFT CR-122034756633-SALARY CREDIT,Income
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/995821211255/COURSERA,Education
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 422467666477 PVRCINEMAS,Entertainment
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
POS DEBIT 578530774166 CULTFIT,Health & Fitness
POS DEBIT 314105795650 CASHWITHDRAWAL,Withdrawals
UPI/P2M/732206755990/NETFLIX.COM,Entertainment
UPI/P2M/548748366866/ZERODHA,Investments
UPI/P2M/949391215906/FLIPKART,Shopping
NEFT CR-646986767442-RENTAL INCOME,Income
UPI/P2M/595908932074/BIGBASKET,Groceries
POS DEBIT 611342812771 PRIMEVIDEO,Entertainment
UPI/P2M/388915270172/ZEPTO,Groceries
UPI/P2M/773572438138/BSNL,Bills & Utilities
POS DEBIT 762915892556 RELIANCEDIGITAL,Shopping
NEFT CR-299331960361-RENTAL INCOME,Income
NEFT CR-583064843417-SALARY CREDIT,Income
POS DEBIT 396356409412 CASHWITHDRAWAL,Withdrawals
NEFT CR-347429579547-SALARY CREDIT,Income
UPI/P2M/881947353959/GROWW,Investments
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
UPI/P2M/249905330082/MAKEMYTRIP,Travel & Transport
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/776596835097/ZOMATO,Food & Drinks
POS DEBIT 872304305601 OLACABS,Travel & Transport
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/236957954975/UPSTOX,Investments
POS DEBIT 788243483651 PVRCINEMAS,Entertainment
POS DEBIT 247058080209 MUTUALFUNDSIP,Investments
UPI/P2M/328865093399/MCDONALDS,Food & Drinks
UPI/P2M/702685483614/UPSTOX,Investments
POS DEBIT 589619248136 BANKCHARGES,Miscellaneous
UPI/P2M/308222705069/BSNL,Bills & Utilities
NEFT CR-479992552148-SALARY CREDIT,Income
UPI/P2M/583580411288/MYNTRA,Shopping
POS DEBIT 866177177996 LOCALGYM,Health & Fitness
UPI/P2M/517592666536/BIGBASKET,Groceries
NEFT CR-756398878515-SALARY CREDIT,Income
UPI/P2M/776596835097/ZOMATO,Food & Drinks
UPI/P2M/174748432628/STARBUCKS,Food & Drinks
UPI/P2M/350001172780/ZARA,Shopping
NEFT CR-719556893643-RENTAL INCOME,Income
NEFT CR-375152522312-RENTAL INCOME,Income
UPI/P2M/670046614611/ZEPTO,Groceries
POS DEBIT 858291209958 APOLLOPHARMACY,Health & Fitness
UPI/P2M/258558915786/SWIGGY,Food & Drinks
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
NEFT CR-809945123703-RENTAL INCOME,Income
UPI/P2M/825426548375/MYPROTEIN,Health & Fitness
UPI/P2M/304614128340/BOOKMYSHOW,Entertainment
POS DEBIT 519959369637 REDBUS,Travel & Transport
UPI/P2M/868342490744/FLIPKART,Shopping
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
POS DEBIT 764584931182 LOCALGYM,Health & Fitness
POS DEBIT 676118524920 CASHWITHDRAWAL,Withdrawals
UPI/P2M/201917838884/UPSTOX,Investments
UPI/P2M/508826368274/ZEPTO,Groceries
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
POS DEBIT 815344566844 INDIANRAILWAYS,Travel & Transport
UPI/P2M/288840652100/BIGBASKET,Groceries
POS DEBIT 963186455969 CULTFIT,Health & Fitness
UPI/P2M/859154924266/ZEPTO,Groceries
POS DEBIT 578530774166 CULTFIT,Health & Fitness
POS DEBIT 874870196657 CASHWITHDRAWAL,Withdrawals
POS DEBIT 534197441694 UNIVERSITYFEES,Education
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
POS DEBIT 668674948354 CASHWITHDRAWAL,Withdrawals
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/383149700584/MYPROTEIN,Health & Fitness
POS DEBIT 853877754639 MISCPURCHASE,Miscellaneous
NEFT CR-243944098246-FREELANCE PAYMENT,Income
POS DEBIT 907339193109 OLACABS,Travel & Transport
POS DEBIT 287042918233 CASHWITHDRAWAL,Withdrawals
UPI/P2M/777455721510/BOOKMYSHOW,Entertainment
POS DEBIT 958864231793 OLACABS,Travel & Transport
NEFT CR-323884977870-RENTAL INCOME,Income
UPI/P2M/207700537473/AMAZON,Shopping
UPI/P2M/668844782781/BLINKIT,Groceries
UPI/P2M/827322965685/STARBUCKS,Food & Drinks
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 987321170309 CASHWITHDRAWAL,Withdrawals
POS DEBIT 763566352834 RELIANCEDIGITAL,Shopping
POS DEBIT 788979624096 CULTFIT,Health & Fitness
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
NEFT CR-318751042113-SALARY CREDIT,Income
POS DEBIT 999667779243 PRIMEVIDEO,Entertainment
POS DEBIT 141049981407 LOCALSUPERMARKET,Groceries
POS DEBIT 502237088221 CULTFIT,Health & Fitness
POS DEBIT 292215121713 CASHWITHDRAWAL,Withdrawals
POS DEBIT 578530774166 CULTFIT,Health & Fitness
POS DEBIT 768185096565 PVRCINEMAS,Entertainment
UPI/P2M/387351818850/FLIPKART,Shopping
UPI/P2M/690820524899/MYNTRA,Shopping
POS DEBIT 789135789946 THEBEERCAFE,Food & Drinks
UPI/P2M/629280723396/JIOMART,Groceries
POS DEBIT 602043783549 PVRCINEMAS,Entertainment
POS DEBIT 599222877377 APOLLOPHARMACY,Health & Fitness
UPI/P2M/695156267949/ZEPTO,Groceries
POS DEBIT 261599928476 PRIMEVIDEO,Entertainment
UPI/P2M/544629393420/MYPROTEIN,Health & Fitness
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 389931940840 CULTFIT,Health & Fitness
UPI/P2M/132269294992/BIGBASKET,Groceries
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/200727025540/FLIPKART,Shopping
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/361209386290/ZEPTO,Groceries
POS DEBIT 640376772136 DOMINOSPIZZA,Food & Drinks
UPI/P2M/746294990192/ZEPTO,Groceries
POS DEBIT 841287439438 CASHWITHDRAWAL,Withdrawals
POS DEBIT 535427137403 LOCALSUPERMARKET,Groceries
POS DEBIT 711683817927 LOCALSUPERMARKET,Groceries
POS DEBIT 599397647085 INDIANRAILWAYS,Travel & Transport
POS DEBIT 107779121366 CASHWITHDRAWAL,Withdrawals
UPI/P2M/961391952364/BIGBASKET,Groceries
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
NEFT CR-323884977870-RENTAL INCOME,Income
UPI/P2M/535897941192/ZARA,Shopping
POS DEBIT 962717203340 OLACABS,Travel & Transport
NEFT CR-724995082784-FREELANCE PAYMENT,Income
POS DEBIT 132813463146 MISCPURCHASE,Miscellaneous
POS DEBIT 406625965943 UNIVERSITYFEES,Education
UPI/P2M/701264220887/FLIPKART,Shopping
POS DEBIT 204747547309 CASHWITHDRAWAL,Withdrawals
UPI/P2M/193708111562/UPSTOX,Investments
POS DEBIT 652743115991 PRIMEVIDEO,Entertainment
UPI/P2M/528979164896/NETFLIX.COM,Entertainment
POS DEBIT 637346046769 APOLLOPHARMACY,Health & Fitness
POS DEBIT 447357108176 CASHWITHDRAWAL,Withdrawals
UPI/P2M/695356625922/ZEPTO,Groceries
POS DEBIT 718192966444 REDBUS,Travel & Transport
